direction,datetime,date,year,week,weekday,hour
incoming,2025-11-19 07:37:38.262,2025-11-19,2025,47,2,7
incoming,2025-11-19 06:00:42.891,2025-11-19,2025,47,2,6
incoming,2025-11-19 00:15:22.768,2025-11-19,2025,47,2,0
incoming,2025-11-18 22:17:51.590,2025-11-18,2025,47,1,22
incoming,2025-11-18 21:38:59.266,2025-11-18,2025,47,1,21
incoming,2025-11-18 20:33:29.230,2025-11-18,2025,47,1,20
incoming,2025-11-18 20:23:40.204,2025-11-18,2025,47,1,20
incoming,2025-11-18 16:44:37.712,2025-11-18,2025,47,1,16
incoming,2025-11-18 16:06:30.297,2025-11-18,2025,47,1,16
incoming,2025-11-18 15:47:11.988,2025-11-18,2025,47,1,15
incoming,2025-11-18 14:46:35.797,2025-11-18,2025,47,1,14
incoming,2025-11-18 14:39:48.126,2025-11-18,2025,47,1,14
incoming,2025-11-18 14:38:48.689,2025-11-18,2025,47,1,14
incoming,2025-11-18 14:24:59.482,2025-11-18,2025,47,1,14
incoming,2025-11-18 14:22:21.414,2025-11-18,2025,47,1,14
incoming,2025-11-18 14:08:36.742,2025-11-18,2025,47,1,14
incoming,2025-11-18 14:06:04.453,2025-11-18,2025,47,1,14
incoming,2025-11-18 13:26:08.579,2025-11-18,2025,47,1,13
incoming,2025-11-18 12:59:20.029,2025-11-18,2025,47,1,12
incoming,2025-11-18 12:37:10.619,2025-11-18,2025,47,1,12
incoming,2025-11-18 11:34:52.916,2025-11-18,2025,47,1,11
incoming,2025-11-18 11:23:03.564,2025-11-18,2025,47,1,11
incoming,2025-11-18 11:04:05.432,2025-11-18,2025,47,1,11
incoming,2025-11-18 10:36:10.307,2025-11-18,2025,47,1,10
incoming,2025-11-18 10:30:55.699,2025-11-18,2025,47,1,10
incoming,2025-11-18 10:26:23.265,2025-11-18,2025,47,1,10
incoming,2025-11-18 10:10:27.053,2025-11-18,2025,47,1,10
incoming,2025-11-18 09:36:33.279,2025-11-18,2025,47,1,9
incoming,2025-11-18 09:34:01.064,2025-11-18,2025,47,1,9
incoming,2025-11-18 08:19:52.868,2025-11-18,2025,47,1,8
incoming,2025-11-18 06:34:00.854,2025-11-18,2025,47,1,6
incoming,2025-11-18 05:23:11.965,2025-11-18,2025,47,1,5
incoming,2025-11-17 20:53:47.383,2025-11-17,2025,47,0,20
incoming,2025-11-17 20:50:32.390,2025-11-17,2025,47,0,20
incoming,2025-11-17 20:47:01.935,2025-11-17,2025,47,0,20
incoming,2025-11-17 20:26:13.300,2025-11-17,2025,47,0,20
incoming,2025-11-17 20:12:39.375,2025-11-17,2025,47,0,20
incoming,2025-11-17 18:58:59.944,2025-11-17,2025,47,0,18
incoming,2025-11-17 18:08:33.641,2025-11-17,2025,47,0,18
incoming,2025-11-17 15:26:21.602,2025-11-17,2025,47,0,15
incoming,2025-11-17 15:03:43.899,2025-11-17,2025,47,0,15
incoming,2025-11-17 10:10:11.499,2025-11-17,2025,47,0,10
incoming,2025-11-17 08:20:19.999,2025-11-17,2025,47,0,8
incoming,2025-11-16 23:16:31.928,2025-11-16,2025,46,6,23
incoming,2025-11-16 22:55:06.822,2025-11-16,2025,46,6,22
incoming,2025-11-16 19:45:51.167,2025-11-16,2025,46,6,19
incoming,2025-11-16 12:26:57.336,2025-11-16,2025,46,6,12
incoming,2025-11-16 11:51:01.640,2025-11-16,2025,46,6,11
